event_name,description,audience,cycle,website,email,country,date_uncertain,date,duration_days,venue_id
"HITS CHAMPIONSHIP JUNE LAKE, CA 2024","Fitness Expo in June Lake, CA region. HITS CHAMPIONSHIP JUNE LAKE is a sporting event for running, hiking, swimming, biking featuring wellness & fitness seminars, nutritionists, training experts, all fitness products & services for Triathlon",Public,once a year,http://alpha.win/event/june-lake-ca,info@alpha.win,USA,False,2024-08-17,1,1192
"BALTIMORE ART, ANTIQUE & JEWELRY SHOW 2024","Baltimore Art, Antique & Jewelry Show",Public,once a year,http://www.baltimoresummershow.com/,Info@palmbeachshow.com,USA,False,2024-08-29,4,761
INTERSOLAR SUMMIT BRASIL SÃO PAULO 2024,'Intersolar Summit Brasil São Paulo' addresses leading local and international experts on solar power and renewable energy in the region,Public,once a year,http://www.intersolar.net.br/en/home,fsf@arandanet.com.br,Brazil,False,2024-08-27,3,451
STAMP & SCRAPBOOK EXPO EDISON 2024,"Art & Craft fair in Edison, N. STAMP & SCRAPBOOK EXPO EDISON features craft show, craft shopping, paper craft, clay modelling, abstract arts, Art & Craft workshop, craft tools, creative ideas and crafts for kids",Public,once a year,http://www.scrapbookexpo.com/,Info@scrapbookexpo.com,USA,False,2024-08-23,2,762
EXPODRINKS CARIBE 2024,"Fair of wine, whiskey, beer and other spirits. Expo Bebidas is the fair that allows visitors to know, taste and learn about the culture of good drinking and its pairings",Public,once a year,http://expodrinks.co/,info@corferias.com,Colombia,True,2024-09-01,1,609
ENERSOLAR + BRAZIL 2024,International Fair of Solar Energy Technologies,Public,once a year,http://feiraecoenergy.com.br/,comercial@fieramilano.com.br,Brazil,True,2024-09-01,1,1072
"RETRO EXPO - ALLEN, TX 2024","Fair for Vintage and Collector's items. Comics, Toys, Records, Games, Movies, Cards, Apparel and more...",Public,once a year,http://www.heritageeventcompany.com/,heritageeventco@gmail.com,USA,True,2024-09-01,1,1193
GAT EXPO 2024,Trade show for national and international manufacturers and operators of the gaming sector,Public,once a year,http://www.gatexpo.net/en,info@gatexpo.net,Colombia,False,2024-04-09,3,966
EXPOALIMENTARIA PERU 2024,"The largest international trade show in the region that highlights food and beverages, machinery, equipment, inputs, containers and packaging, services, restaurants, and gastronomy",Public,once a year,http://www.expoalimentariaperu.com/,expoalimentaria@adexperu.org.pe,Peru,True,2024-09-01,1,430
PERUMIN - CONVENCION MINERA 2024,"Biennial Mining Convention. PERUMIN seeks to strengthen the specialized professional development of the participants and disseminate new knowledge that is the result of research, innovation and the application of technology in mining operations",Public,once a year,http://www.convencionminera.com/,convencionminera@iimp.org.pe,Peru,True,2024-09-01,1,1194
