Event Name,Description,Audience,Cycle,Email,Website,Date,Duration,Venue,City,Country
UNMANNED SYSTEMS DEFENSE 2023,"AUVSI (Association for Unmanned Vehicle Systems International) Annual Forum. AUVSI’s Unmanned Systems Educational Program features the latest issues, trends and developments impacting the unmanned systems and robotics community",Public,every 2 years,esinoimeri@auvsi.org,http://www.auvsi.org/auvsi-defense,2023-09-14,1,Washington D.C.,Washington D.C.,USA
ACCESS MBA - CHICAGO 2023,ACCESS MBA is a communication campaign specifically designed to better inform prospective students of existing MBA opportunities. ACCESS MBA is a series of events organised around the world,Public,unknown,coutat@advent-communication.net,http://www.accessmba.com/events/city/chicago,2023-09-28,1,"Sheraton Grand, Chicago",Chicago,USA
PROFLORA 2023,Colombian Flower Industry Trade Show,Public,every 2 years,proflora@asocolflores.org,http://www.proflora.org.co/,2023-10-04,4,Corferias - Centro de Convenciones,Bogotá,Colombia
METALURGIA 2023,"International Fair and Congress on Technology for Foundry, Steel Mills, Forging, Aluminum and Services",Public,every 2 years,feiras@messebrasil.com.br,http://www.metalurgia.com.br/,2023-09-19,5,Complexo Expoville,Joinville SC,Brazil
COLUMBUS GUN SHOW 1 2023,"Guns & knife show features handguns, shotguns, rifles, collectible guns, antique knife, personal defense weapons, hunting accessories, fishing gears, military surplus, outdoor equipment",Public,unknown,rkshows@yousq.net,http://rkshows.com/events/category/georgia,2023-10-07,2,Columbus Iron Works - Columbus Georgia Convention and Trade Center,Columbus,USA
BLUE RIDGE GUN SHOW 2023,"Guns & knife show features handguns, shotguns, rifles, collectible guns, antique knife, personal defense weapons, hunting accessories, fishing gears, military surplus, outdoor equipment",Public,unknown,rkshows@yousq.net,http://rkshows.com/events/category/georgia,2023-09-02,2,Kiwanis Fairgrounds,Blue Ridge,USA
"CHATTANOOGA, TN GUN SHOW 2023","Guns & knife show. CHATTANOOGA, TN GUN SHOW features shooting rifles, handguns, shotguns, collectible firearm, antique knife, personal defense weapons, fishing & hunting accessories, survival gears, military surplus, gun cases and safe",Public,unknown,rkshows@yousq.net,http://rkshows.com/events/category/tennessee,2023-09-02,2,Camp Jordan Arena,Chattanooga,USA
PACK EXPO LAS VEGAS 2023,"International Packaging Process Show. For end users and suppliers around the world, PACK EXPO LAS VEGAS offers a quality professional experience and a wide range of packaging innovations for each vertical market",Public,every 2 years,info@pmmi.org,http://www.packexpolasvegas.com/,2023-09-11,3,Las Vegas Convention Center,Las Vegas,USA
EXPO PESCA & ACUIPERU 2023,"International Trade Fair of Fishing and Fish Farming. The major Latin American event for equipment, supplies and services for fishing and aquaculture. Boats, capture, cultivation, refrigeration, processing, distribution",Public,every 2 years,thais@thaiscorp.com,http://www.thaiscorp.com/expopesca,2023-09-06,3,Centro de Exposiciones Jockey,Lima,Peru
ENUMCLAW GUN SHOW 2023,"Arms & Ammunition Fair. ENUMCLAW GUN SHOW presents hunting rifle, samurai swords, memorabilia, custom knife, air guns, cartridges, gun magazines, collectors guns, antique pistols, coins, scopes, fishing tackle, display cases, and survival training",Public,unknown,sales@bigtoppromos.com,http://www.bigtoppromos.com/,2023-09-23,2,Enumclaw Expo Center,Puyallup,USA
ENVASE ALIMENTEK 2023,"Packaging International Expo. The participating professionals come from numerous fields and industries, such as food, pharmaceutical, chemical, personal care, electronics, among others",Public,every 2 years,nstituto@envase.org,http://www.envase.org/,2023-10-03,4,Costa Salguero Exhibition Center,Buenos Aires,Argentina
LEESPORT FARMERS MARKET GUN SHOW 2023,"Weapon Fair. LEESPORT FARMERS MARKET GUN SHOW showcases shotguns, handguns, hunting rifle, combat knife and swords, collector & antic fireweapons, Indian artifacts, muzzle load, hi-tech optics, safety equipment, holsters, war relics and gun parts",Public,unknown,AppPromotions@aol.com,http://www.thegunshows.com/,2023-09-30,2,Leesport Farmers Market,Reading,USA
VERNAL GUNS & KNIFE SHOW 2023,"Arms & Ammunition fair. VERNAL GUNS & KNIFE SHOW features shooting rifles, shotguns, combat knives, samurai swords, muzzle load, collectibles & antique, hunting and fishing accessories, war relics, carbines, self protection items and laser sight",Public,unknown,gunshows@crossroadsgunshows.com,http://www.crossroadsgunshows.com/,2023-09-16,2,Uintah Conference Center,Vernal,USA
EXPOVETRO 2023,Glass Machines and Accessories Brazilian Fair,Public,every 2 years,comercial@fieramilano.com.br,http://www.saiebrasil.com.br/,2023-08-31,2,CentroSul - Centro de Convenções de Florianópolis,Florianópolis,Brazil
ATHENS GUNS & KNIFE SHOW 2023,"Arms & Antique Expo: shotguns, handguns, hunting rifle, combat knife, samurai swords, collector firearms, Indian artifacts, muzzle load, laser optics, safety equipment, holsters, gun parts and rifle spoke",Public,unknown,MWXmarketing@aol.com,http://www.greatamericanpromotionsllc.com/,2023-09-30,2,"National Guard Armory, Athens, TN",Athens,USA
